user_id,plan,subscription_start,subscription_end,is_trial,converted_to_paid,conversion_timestamp
u_000001,free,,,False,False,
u_000002,free,,,False,False,
u_000003,free,,,False,False,
u_000004,free,,,False,False,
u_000005,free,,,False,False,
u_000006,free,,,False,False,
u_000007,free,,,False,False,
u_000008,pro,2025-11-27 22:47:24,2026-01-01 22:47:24,True,True,2025-11-27 22:47:24
u_000009,free,,,False,False,
u_000010,free,,,False,False,
u_000011,free,,,False,False,
u_000012,free,,,False,False,
u_000013,free,,,False,False,
u_000014,free,,,False,False,
u_000015,free,,,False,False,
u_000016,free,,,False,False,
u_000017,free,,,False,False,
u_000018,free,,,False,False,
u_000019,plus,2026-01-04 04:38:45,,False,True,2026-01-04 04:38:45
u_000020,free,,,False,False,
u_000021,free,,,False,False,
u_000022,free,,,False,False,
u_000023,free,,,False,False,
u_000024,free,,,False,False,
u_000025,plus,2025-12-06 19:29:50,,True,True,2025-12-06 19:29:50
u_000026,free,,,False,False,
u_000027,free,,,False,False,
u_000028,free,,,False,False,
u_000029,free,,,False,False,
u_000030,free,,,False,False,
u_000031,free,,,False,False,
u_000032,free,,,False,False,
u_000033,free,,,False,False,
u_000034,free,,,False,False,
u_000035,free,,,False,False,
u_000036,free,,,False,False,
u_000037,free,,,False,False,
u_000038,free,,,False,False,
u_000039,plus,2025-11-29 10:39:10,,False,True,2025-11-29 10:39:10
u_000040,free,,,False,False,
u_000041,free,,,False,False,
u_000042,pro,2025-12-21 22:44:01,,False,True,2025-12-21 22:44:01
u_000043,free,,,False,False,
u_000044,free,,,False,False,
u_000045,free,,,False,False,
u_000046,free,,,False,False,
u_000047,free,,,False,False,
u_000048,free,,,False,False,
u_000049,free,,,False,False,
u_000050,free,,,False,False,
u_000051,free,,,False,False,
u_000052,free,,,False,False,
u_000053,free,,,False,False,
u_000054,free,,,False,False,
u_000055,free,,,False,False,
u_000056,free,,,False,False,
u_000057,free,,,False,False,
u_000058,free,,,False,False,
u_000059,free,,,False,False,
u_000060,free,,,False,False,
u_000061,free,,,False,False,
u_000062,free,,,False,False,
u_000063,free,,,False,False,
u_000064,free,,,False,False,
u_000065,free,,,False,False,
u_000066,free,,,False,False,
u_000067,free,,,False,False,
u_000068,free,,,False,False,
u_000069,free,,,False,False,
u_000070,free,,,False,False,
u_000071,free,,,False,False,
u_000072,free,,,False,False,
u_000073,free,,,False,False,
u_000074,free,,,False,False,
u_000075,plus,2025-11-23 12:52:06,,True,True,2025-11-23 12:52:06
u_000076,pro,2025-12-03 18:32:16,,True,True,2025-12-03 18:32:16
u_000077,free,,,False,False,
u_000078,free,,,False,False,
u_000079,free,,,False,False,
u_000080,free,,,False,False,
u_000081,free,,,False,False,
u_000082,free,,,False,False,
u_000083,free,,,False,False,
u_000084,free,,,False,False,
u_000085,free,,,False,False,
u_000086,free,,,False,False,
u_000087,free,,,False,False,
u_000088,free,,,False,False,
u_000089,free,,,False,False,
u_000090,free,,,False,False,
u_000091,free,,,False,False,
u_000092,free,,,False,False,
u_000093,free,,,False,False,
u_000094,free,,,False,False,
u_000095,plus,2025-11-30 09:36:11,,True,True,2025-11-30 09:36:11
u_000096,free,,,False,False,
u_000097,free,,,False,False,
u_000098,free,,,False,False,
u_000099,free,,,False,False,
u_000100,free,,,False,False,
u_000101,free,,,False,False,
u_000102,free,,,False,False,
u_000103,free,,,False,False,
u_000104,free,,,False,False,
u_000105,free,,,False,False,
u_000106,free,,,False,False,
u_000107,free,,,False,False,
u_000108,free,,,False,False,
u_000109,free,,,False,False,
u_000110,free,,,False,False,
u_000111,free,,,False,False,
u_000112,free,,,False,False,
u_000113,free,,,False,False,
u_000114,free,,,False,False,
u_000115,free,,,False,False,
u_000116,free,,,False,False,
u_000117,free,,,False,False,
u_000118,free,,,False,False,
u_000119,free,,,False,False,
u_000120,free,,,False,False,
u_000121,free,,,False,False,
u_000122,free,,,False,False,
u_000123,free,,,False,False,
u_000124,free,,,False,False,
u_000125,free,,,False,False,
u_000126,free,,,False,False,
u_000127,free,,,False,False,
u_000128,free,,,False,False,
u_000129,free,,,False,False,
u_000130,free,,,False,False,
u_000131,free,,,False,False,
u_000132,free,,,False,False,
u_000133,free,,,False,False,
u_000134,free,,,False,False,
u_000135,free,,,False,False,
u_000136,free,,,False,False,
u_000137,free,,,False,False,
u_000138,free,,,False,False,
u_000139,free,,,False,False,
u_000140,free,,,False,False,
u_000141,free,,,False,False,
u_000142,free,,,False,False,
u_000143,free,,,False,False,
u_000144,free,,,False,False,
u_000145,free,,,False,False,
